date,ticker_count,covered_tickers,headline_count,coverage_breadth,plain_sentiment_index,plain_fear_greed_index,plain_standardized_score,finance_sentiment_index,finance_fear_greed_index,finance_standardized_score,standardization_basis,no_news_policy
2023-05-30,50,45,329,0.9,0.11117214728108149,55.55860736405407,0.714558246967669,0.11247079842409054,55.623539921204525,0.4708284347216665,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-05-31,50,40,191,0.8,0.11179662423952859,55.589831211976424,0.7318052080906378,0.11541650788342092,55.77082539417104,0.546284287437463,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-06-01,50,47,203,0.94,0.0989463016029016,54.947315080145074,0.37690177741380176,0.1089411832845833,55.44705916422916,0.3804155397002254,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-06-02,50,38,193,0.76,0.05414251603396604,52.707125801698304,-0.8605003995869713,0.03385820174825175,51.69291008741259,-1.5428733910268981,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-06-05,50,44,246,0.88,0.07082853336663338,53.541426668331674,-0.3996617916272259,0.08797129772449772,54.39856488622489,-0.15673879209480995,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-06-06,50,36,126,0.72,0.10003239365079367,55.00161968253968,0.40689773975089216,0.11832466031746032,55.91623301587302,0.6207780977631577,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-06-07,50,38,136,0.76,0.15106863333333334,57.55343166666667,1.816429396220879,0.15806163333333334,57.903081666666665,1.63866096253791,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-06-08,50,44,186,0.88,0.08568590375180374,54.28429518759019,0.010672786704999498,0.09338921327561327,54.66946066378067,-0.01795611732805613,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-06-09,50,39,164,0.78,0.07220275693779904,53.61013784688995,-0.36170814067891904,0.08437414265208476,54.21870713260424,-0.2488817570026841,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-06-12,50,42,224,0.84,0.09787127777777778,54.893563888888885,0.3472115000266555,0.10874086666666667,55.437043333333335,0.37528432719378924,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-06-13,50,43,183,0.86,0.10321611976063153,55.16080598803158,0.49482668524649404,0.11626225309396487,55.81311265469824,0.5679484830830179,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-06-14,50,35,161,0.7,0.12742547482922995,56.37127374146149,1.1634467200329897,0.13680097482922993,56.84004874146149,1.0940583332306903,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-06-15,50,42,164,0.84,0.07987829881301495,53.99391494065075,-0.14972310179332193,0.09255105331657591,54.627552665828794,-0.039426012881087796,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-06-16,50,40,151,0.8,0.0877572697204969,54.38786348602485,0.06788029108166871,0.11921590921325052,55.960795460662524,0.6436078935533879,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-06-20,50,42,305,0.84,0.05900123661692917,52.950061830846465,-0.7263110370040569,0.06613321931242516,53.306660965621255,-0.7161323273390979,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-06-21,50,39,183,0.78,0.07282026142857143,53.64101307142857,-0.34465374691538647,0.07006399142857143,53.503199571428574,-0.6154435914164736,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-06-22,50,45,175,0.9,0.10857776911976912,55.42888845598846,0.6429060607962167,0.11797805483405482,55.89890274170274,0.6118996212306222,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-06-23,50,41,163,0.82,0.07263333015873015,53.6316665079365,-0.3498164615680405,0.0820530634920635,54.10265317460318,-0.3083373854882177,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-06-26,50,42,220,0.84,0.1232838841991342,56.164194209956705,1.049063232190397,0.13026052316017314,56.513026158008664,0.9265213223174281,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-06-27,50,45,166,0.9,0.15344637777777778,57.67231888888888,1.8820985381147064,0.15375351111111113,57.687675555555565,1.5283062108661194,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-06-28,50,39,186,0.78,0.06906204645851519,53.45310232292576,-0.44844906971080734,0.07732641009487883,53.86632050474394,-0.42941302702744144,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-06-29,50,44,221,0.88,0.08849425602036852,54.42471280101843,0.08823456338925659,0.08783088756798758,54.39154437839938,-0.16033546998708206,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
