date,sector,ticker_count,covered_tickers,headline_count,plain_sentiment_index,finance_sentiment_index,plain_sentiment_covered_only,finance_sentiment_covered_only,constituent_count,coverage_breadth,ticker_coverage_hhi,coverage_confidence,has_news,plain_sentiment_index_lag1,finance_sentiment_index_lag1,tradable_signal_available,no_news_policy
2022-08-29,Healthcare,5,5,11,0.2640533333333333,0.27317,0.2640533333333333,0.27317,5,1.0,0.3553719008264462,0.8057851239669422,True,0.15202666666666667,0.15202666666666667,True,all constituent ticker-days retained; no-news score = 0
2022-08-29,Industrials,5,4,11,0.034608,0.018772,0.04326,0.023465,5,0.8,0.32231404958677684,0.677685950413223,True,-0.023903333333333325,-0.03582333333333333,True,all constituent ticker-days retained; no-news score = 0
2022-08-29,Materials,5,3,7,0.001809999999999995,0.001809999999999995,0.0030166666666666584,0.0030166666666666584,5,0.6,0.42857142857142855,0.4285714285714285,True,0.057730000000000004,0.14619,True,all constituent ticker-days retained; no-news score = 0
2022-08-29,RealEstate,5,4,9,0.06865833333333334,0.06865833333333334,0.08582291666666667,0.08582291666666667,5,0.8,0.3333333333333333,0.6666666666666667,True,0.1406,0.1406,True,all constituent ticker-days retained; no-news score = 0
2022-08-29,Tech,5,5,32,0.07502333333333333,0.123095,0.07502333333333333,0.123095,5,1.0,0.24609375,0.9423828125,True,0.1917832380952381,0.18525466666666668,True,all constituent ticker-days retained; no-news score = 0
2022-08-29,Utilities,5,4,5,0.2883,0.2883,0.360375,0.360375,5,0.8,0.28,0.7199999999999999,True,0.08196,0.08196,True,all constituent ticker-days retained; no-news score = 0
2022-08-30,Comm,5,2,2,-0.10533999999999999,-0.10533999999999999,-0.26335,-0.26335,5,0.4,0.5,0.25,True,0.157895,0.157895,True,all constituent ticker-days retained; no-news score = 0
2022-08-30,Consumer,5,5,20,0.14592999999999998,0.14592999999999998,0.14592999999999998,0.14592999999999998,5,1.0,0.255,0.9312499999999999,True,0.09779961904761905,0.09779961904761905,True,all constituent ticker-days retained; no-news score = 0
2022-08-30,Energy,5,5,24,0.09114714285714286,0.09114714285714286,0.09114714285714286,0.09114714285714286,5,1.0,0.23263888888888895,0.9592013888888887,True,0.18382174603174603,0.18382174603174603,True,all constituent ticker-days retained; no-news score = 0
2022-08-30,Financials,5,4,10,-0.016370000000000003,0.023620000000000002,-0.0204625,0.029525000000000003,5,0.8,0.26,0.7399999999999999,True,0.082995,0.082995,True,all constituent ticker-days retained; no-news score = 0
2022-08-30,Healthcare,5,4,6,0.03273,0.17253000000000002,0.040912500000000004,0.21566250000000003,5,0.8,0.2777777777777778,0.7222222222222222,True,0.2640533333333333,0.27317,True,all constituent ticker-days retained; no-news score = 0
